"Primary Type","yearmo","count","year","month"
"NARCOTICS",Mar 2009,3794,2009,"Mar"
"ROBBERY",Mar 2009,1184,2009,"Mar"
"ASSAULT",Apr 2009,2022,2009,"Apr"
"BURGLARY",Apr 2009,2046,2009,"Apr"
"CRIMINAL TRESPASS",Apr 2009,961,2009,"Apr"
"MOTOR VEHICLE THEFT",Apr 2009,1120,2009,"Apr"
"NARCOTICS",Apr 2009,3499,2009,"Apr"
"ROBBERY",Apr 2009,1192,2009,"Apr"
"ASSAULT",May 2009,2215,2009,"May"
"BURGLARY",May 2009,2186,2009,"May"
"CRIMINAL TRESPASS",May 2009,1001,2009,"May"
"MOTOR VEHICLE THEFT",May 2009,1153,2009,"May"
"NARCOTICS",May 2009,3562,2009,"May"
"ROBBERY",May 2009,1402,2009,"May"
"ASSAULT",Jun 2009,2100,2009,"Jun"
"BURGLARY",Jun 2009,2317,2009,"Jun"
"CRIMINAL TRESPASS",Jun 2009,878,2009,"Jun"
"MOTOR VEHICLE THEFT",Jun 2009,1205,2009,"Jun"
"NARCOTICS",Jun 2009,3382,2009,"Jun"
"ROBBERY",Jun 2009,1380,2009,"Jun"
"ASSAULT",Jul 2009,2081,2009,"Jul"
"BURGLARY",Jul 2009,2487,2009,"Jul"
"CRIMINAL TRESPASS",Jul 2009,874,2009,"Jul"
"MOTOR VEHICLE THEFT",Jul 2009,1316,2009,"Jul"
"NARCOTICS",Jul 2009,3408,2009,"Jul"
"ROBBERY",Jul 2009,1598,2009,"Jul"
"ASSAULT",Aug 2009,2016,2009,"Aug"
"BURGLARY",Aug 2009,2630,2009,"Aug"
"CRIMINAL TRESPASS",Aug 2009,877,2009,"Aug"
"MOTOR VEHICLE THEFT",Aug 2009,1319,2009,"Aug"
"NARCOTICS",Aug 2009,3703,2009,"Aug"
"ROBBERY",Aug 2009,1473,2009,"Aug"
"ASSAULT",Sep 2009,1999,2009,"Sep"
"BURGLARY",Sep 2009,2505,2009,"Sep"
"CRIMINAL TRESPASS",Sep 2009,868,2009,"Sep"
"MOTOR VEHICLE THEFT",Sep 2009,1324,2009,"Sep"
"NARCOTICS",Sep 2009,3602,2009,"Sep"
"ROBBERY",Sep 2009,1344,2009,"Sep"
"ASSAULT",Oct 2009,1767,2009,"Oct"
"BURGLARY",Oct 2009,2435,2009,"Oct"
"CRIMINAL TRESPASS",Oct 2009,866,2009,"Oct"
"MOTOR VEHICLE THEFT",Oct 2009,1407,2009,"Oct"
"NARCOTICS",Oct 2009,3505,2009,"Oct"
"ROBBERY",Oct 2009,1366,2009,"Oct"
"ASSAULT",Nov 2009,1632,2009,"Nov"
"BURGLARY",Nov 2009,2380,2009,"Nov"
"CRIMINAL TRESPASS",Nov 2009,836,2009,"Nov"
"MOTOR VEHICLE THEFT",Nov 2009,1406,2009,"Nov"
"NARCOTICS",Nov 2009,3470,2009,"Nov"
"ROBBERY",Nov 2009,1338,2009,"Nov"
"ASSAULT",Dec 2009,1444,2009,"Dec"
"BURGLARY",Dec 2009,2309,2009,"Dec"
"CRIMINAL TRESPASS",Dec 2009,762,2009,"Dec"
"MOTOR VEHICLE THEFT",Dec 2009,1530,2009,"Dec"
"NARCOTICS",Dec 2009,3013,2009,"Dec"
"ROBBERY",Dec 2009,1324,2009,"Dec"
"ASSAULT",Jan 2010,1485,2010,"Jan"
"BURGLARY",Jan 2010,1956,2010,"Jan"
"CRIMINAL TRESPASS",Jan 2010,925,2010,"Jan"
"MOTOR VEHICLE THEFT",Jan 2010,1510,2010,"Jan"
"NARCOTICS",Jan 2010,3813,2010,"Jan"
"ROBBERY",Jan 2010,1218,2010,"Jan"
"ASSAULT",Feb 2010,1435,2010,"Feb"
"BURGLARY",Feb 2010,1479,2010,"Feb"
"CRIMINAL TRESPASS",Feb 2010,759,2010,"Feb"
"MOTOR VEHICLE THEFT",Feb 2010,1077,2010,"Feb"
"NARCOTICS",Feb 2010,3978,2010,"Feb"
"ROBBERY",Feb 2010,722,2010,"Feb"
"ASSAULT",Mar 2010,1898,2010,"Mar"
"BURGLARY",Mar 2010,1988,2010,"Mar"
"CRIMINAL TRESPASS",Mar 2010,919,2010,"Mar"
"MOTOR VEHICLE THEFT",Mar 2010,1347,2010,"Mar"
"NARCOTICS",Mar 2010,4390,2010,"Mar"
"ROBBERY",Mar 2010,1003,2010,"Mar"
"ASSAULT",Apr 2010,1969,2010,"Apr"
"BURGLARY",Apr 2010,1991,2010,"Apr"
"CRIMINAL TRESPASS",Apr 2010,757,2010,"Apr"
"MOTOR VEHICLE THEFT",Apr 2010,1455,2010,"Apr"
"NARCOTICS",Apr 2010,3785,2010,"Apr"
"ROBBERY",Apr 2010,1121,2010,"Apr"
"ASSAULT",May 2010,2087,2010,"May"
"BURGLARY",May 2010,2245,2010,"May"
"CRIMINAL TRESPASS",May 2010,789,2010,"May"
"MOTOR VEHICLE THEFT",May 2010,1689,2010,"May"
"NARCOTICS",May 2010,3668,2010,"May"
"ROBBERY",May 2010,1186,2010,"May"
"ASSAULT",Jun 2010,2030,2010,"Jun"
"BURGLARY",Jun 2010,2245,2010,"Jun"
"CRIMINAL TRESPASS",Jun 2010,749,2010,"Jun"
"MOTOR VEHICLE THEFT",Jun 2010,1504,2010,"Jun"
"NARCOTICS",Jun 2010,3337,2010,"Jun"
"ROBBERY",Jun 2010,1223,2010,"Jun"
"ASSAULT",Jul 2010,2043,2010,"Jul"
"BURGLARY",Jul 2010,2317,2010,"Jul"
"CRIMINAL TRESPASS",Jul 2010,765,2010,"Jul"
"MOTOR VEHICLE THEFT",Jul 2010,1566,2010,"Jul"
"NARCOTICS",Jul 2010,3505,2010,"Jul"
"ROBBERY",Jul 2010,1309,2010,"Jul"
"ASSAULT",Aug 2010,2010,2010,"Aug"
"BURGLARY",Aug 2010,2704,2010,"Aug"
"CRIMINAL TRESPASS",Aug 2010,827,2010,"Aug"
"MOTOR VEHICLE THEFT",Aug 2010,1679,2010,"Aug"
"NARCOTICS",Aug 2010,3663,2010,"Aug"
"ROBBERY",Aug 2010,1315,2010,"Aug"
"ASSAULT",Sep 2010,1878,2010,"Sep"
"BURGLARY",Sep 2010,2434,2010,"Sep"
"CRIMINAL TRESPASS",Sep 2010,773,2010,"Sep"
"MOTOR VEHICLE THEFT",Sep 2010,1764,2010,"Sep"
"NARCOTICS",Sep 2010,3614,2010,"Sep"
"ROBBERY",Sep 2010,1258,2010,"Sep"
"ASSAULT",Oct 2010,1839,2010,"Oct"
"BURGLARY",Oct 2010,2485,2010,"Oct"
"CRIMINAL TRESPASS",Oct 2010,797,2010,"Oct"
"MOTOR VEHICLE THEFT",Oct 2010,1786,2010,"Oct"
"NARCOTICS",Oct 2010,3514,2010,"Oct"
"ROBBERY",Oct 2010,1463,2010,"Oct"
"ASSAULT",Nov 2010,1528,2010,"Nov"
"BURGLARY",Nov 2010,2369,2010,"Nov"
"CRIMINAL TRESPASS",Nov 2010,738,2010,"Nov"
"MOTOR VEHICLE THEFT",Nov 2010,1695,2010,"Nov"
"NARCOTICS",Nov 2010,3235,2010,"Nov"
"ROBBERY",Nov 2010,1236,2010,"Nov"
"ASSAULT",Dec 2010,1267,2010,"Dec"
"BURGLARY",Dec 2010,2124,2010,"Dec"
"CRIMINAL TRESPASS",Dec 2010,585,2010,"Dec"
"MOTOR VEHICLE THEFT",Dec 2010,1880,2010,"Dec"
"NARCOTICS",Dec 2010,2780,2010,"Dec"
"ROBBERY",Dec 2010,1170,2010,"Dec"
"ASSAULT",Jan 2011,1388,2011,"Jan"
"BURGLARY",Jan 2011,1954,2011,"Jan"
"CRIMINAL TRESPASS",Jan 2011,722,2011,"Jan"
"MOTOR VEHICLE THEFT",Jan 2011,1862,2011,"Jan"
"NARCOTICS",Jan 2011,3453,2011,"Jan"
"ROBBERY",Jan 2011,1105,2011,"Jan"
"ASSAULT",Feb 2011,1284,2011,"Feb"
"BURGLARY",Feb 2011,1427,2011,"Feb"
"CRIMINAL TRESPASS",Feb 2011,612,2011,"Feb"
"MOTOR VEHICLE THEFT",Feb 2011,1295,2011,"Feb"
"NARCOTICS",Feb 2011,2892,2011,"Feb"
